"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1010139",42.427417,-71.125872,10001,""
"1010139",42.427349,-71.125753,10002,""
"1010139",42.426791,-71.12493,10003,""
"1010139",42.425642,-71.123326,10004,""
"1010139",42.425449,-71.123057,10005,""
"1010139",42.425409,-71.123002,10006,""
"1010139",42.425409,-71.123002,20001,""
"1010139",42.425338,-71.122906,20002,""
"1010139",42.424891,-71.122297,20003,""
"1010139",42.424399,-71.121668,20004,""
"1010139",42.423891,-71.121034,20005,""
"1010139",42.42378,-71.120893,20006,""
"1010139",42.42378,-71.120893,30001,""
"1010139",42.423368,-71.120368,30002,""
"1010139",42.42322,-71.120202,30003,""
"1010139",42.422798,-71.119702,30004,""
"1010139",42.421908,-71.118666,30005,""
"1010139",42.421518,-71.118185,30006,""
"1010139",42.421449,-71.118144,30007,""
"1010139",42.421449,-71.118144,40001,""
"1010139",42.421438,-71.118138,40002,""
"1010139",42.42139,-71.118121,40003,""
"1010139",42.421342,-71.118116,40004,""
"1010139",42.421109,-71.118353,40005,""
"1010139",42.420854,-71.118801,40006,""
"1010139",42.420768,-71.119064,40007,""
"1010139",42.420734,-71.119266,40008,""
"1010139",42.420762,-71.119711,40009,""
"1010139",42.420791,-71.119911,40010,""
"1010139",42.420791,-71.119911,50001,""
"1010139",42.420919,-71.120814,50002,""
"1010139",42.421031,-71.121201,50003,""
"1010139",42.421181,-71.121513,50004,""
"1010139",42.42133,-71.121709,50005,""
"1010139",42.421475,-71.121917,50006,""
"1010139",42.421573,-71.122051,50007,""
"1010139",42.4217,-71.122358,50008,""
"1010139",42.421774,-71.12266,50009,""
"1010139",42.421778,-71.122726,50010,""
"1010139",42.421795,-71.12301,50011,""
"1010139",42.421794,-71.123211,50012,""
"1010139",42.421794,-71.123211,60001,""
"1010139",42.421793,-71.123434,60002,""
"1010139",42.421749,-71.124058,60003,""
"1010139",42.421722,-71.124854,60004,""
"1010139",42.421722,-71.124854,70001,""
"1010139",42.421718,-71.124974,70002,""
"1010139",42.421702,-71.125699,70003,""
"1010139",42.421705,-71.126235,70004,""
"1010139",42.421705,-71.126235,80001,""
"1010139",42.421706,-71.126358,80002,""
"1010139",42.421709,-71.12695,80003,""
"1010139",42.421665,-71.127603,80004,""
"1010139",42.421616,-71.127964,80005,""
"1010139",42.421581,-71.128219,80006,""
"1010139",42.4215,-71.12873,80007,""
"1010139",42.4215,-71.12873,90001,""
"1010139",42.42148,-71.128854,90002,""
"1010139",42.421338,-71.129586,90003,""
"1010139",42.421274,-71.129799,90004,""
"1010139",42.421232,-71.130009,90005,""
"1010139",42.421053,-71.131068,90006,""
"1010139",42.421057,-71.131196,90007,""
"1010139",42.421057,-71.131196,100001,""
"1010139",42.421061,-71.131316,100002,""
"1010139",42.42108,-71.131655,100003,""
"1010139",42.421167,-71.132422,100004,""
"1010139",42.42124,-71.133098,100005,""
"1010139",42.421245,-71.133175,100006,""
"1010139",42.421367,-71.133932,100007,""
"1010139",42.421475,-71.134671,100008,""
"1010139",42.421505,-71.134865,100009,""
"1010139",42.421505,-71.134865,110001,""
"1010139",42.421606,-71.135499,110002,""
"1010139",42.421668,-71.135959,110003,""
"1010139",42.421666,-71.136238,110004,""
"1010139",42.421593,-71.136531,110005,""
"1010139",42.421546,-71.136686,110006,""
"1010139",42.421427,-71.136863,110007,""
"1010139",42.421406,-71.136895,110008,""
"1010139",42.421351,-71.137048,110009,""
"1010139",42.421316,-71.137261,110010,""
"1010139",42.421126,-71.136893,110011,""
"1010139",42.421126,-71.136893,120001,""
"1010139",42.421039,-71.136724,120002,""
"1010139",42.420283,-71.135441,120003,""
"1010139",42.419818,-71.134621,120004,""
"1010139",42.419818,-71.134621,130001,""
"1010139",42.419764,-71.134524,130002,""
"1010139",42.418924,-71.133066,130003,""
"1010139",42.418924,-71.133066,140001,""
"1010139",42.41887,-71.132972,140002,""
"1010139",42.418421,-71.132207,140003,""
"1010139",42.418175,-71.131849,140004,""
"1010139",42.417941,-71.131487,140005,""
"1010139",42.417941,-71.131487,150001,""
"1010139",42.417882,-71.131396,150002,""
"1010139",42.417344,-71.130586,150003,""
"1010139",42.416803,-71.129785,150004,""
"1010139",42.416572,-71.129431,150005,""
"1010139",42.416469,-71.129276,150006,""
"1010139",42.416469,-71.129276,160001,""
"1010139",42.415669,-71.128069,160002,""
"1010139",42.415567,-71.12791,160003,""
"1010139",42.415489,-71.127783,160004,""
"1010139",42.415489,-71.127783,170001,""
"1010139",42.415431,-71.127689,170002,""
"1010139",42.415048,-71.12713,170003,""
"1010139",42.414677,-71.12658,170004,""
"1010139",42.414233,-71.125898,170005,""
"1010139",42.414233,-71.125898,180001,""
"1010139",42.414174,-71.125807,180002,""
"1010139",42.413743,-71.125129,180003,""
"1010139",42.41329,-71.124475,180004,""
"1010139",42.412908,-71.123888,180005,""
"1010139",42.412908,-71.123888,190001,""
"1010139",42.412849,-71.123797,190002,""
"1010139",42.412622,-71.123444,190003,""
"1010139",42.411886,-71.12233,190004,""
"1010139",42.411535,-71.121783,190005,""
"1010139",42.411984,-71.121482,190006,""
"1010139",42.412089,-71.121412,190007,""
"1010139",42.412398,-71.121207,190008,""
"1010139",42.412564,-71.121091,190009,""
"1010139",42.412974,-71.120838,190010,""
"1010139",42.413431,-71.120529,190011,""
"1010139",42.413431,-71.120529,200001,""
"1010139",42.413494,-71.120486,200002,""
"1010139",42.414106,-71.12008,200003,""
"1010139",42.414265,-71.119966,200004,""
"1010139",42.414197,-71.11978,200005,""
"1010139",42.414197,-71.11978,210001,""
"1010139",42.413986,-71.119204,210002,""
"1010139",42.413883,-71.118979,210003,""
"1010139",42.41337,-71.117669,210004,""
"1010139",42.413167,-71.117137,210005,""
"1010139",42.412896,-71.116489,210006,""
"1010139",42.412896,-71.116489,220001,""
"1010139",42.412853,-71.116386,220002,""
"1010139",42.41253,-71.115623,220003,""
"1010139",42.412412,-71.115269,220004,""
"1010139",42.411997,-71.1143,220005,""
"1010139",42.411766,-71.113732,220006,""
"1010139",42.411766,-71.113732,230001,""
"1010139",42.411734,-71.113653,230002,""
"1010139",42.411705,-71.113399,230003,""
"1010139",42.411728,-71.113135,230004,""
"1010139",42.411811,-71.1123,230005,""
"1010139",42.411913,-71.111515,230006,""
"1010139",42.412025,-71.110737,230007,""
"1010139",42.412025,-71.110737,240001,""
"1010139",42.412042,-71.110618,240002,""
"1010139",42.411892,-71.110582,240003,""
"1010139",42.411892,-71.110582,250001,""
"1010139",42.411794,-71.110557,250002,""
"1010139",42.411498,-71.110475,250003,""
"1010139",42.411179,-71.110388,250004,""
"1010139",42.410745,-71.110252,250005,""
"1010139",42.410297,-71.110124,250006,""
"1010139",42.409822,-71.109953,250007,""
"1010139",42.409822,-71.109953,260001,""
"1010139",42.409731,-71.109921,260002,""
"1010139",42.40934,-71.109707,260003,""
"1010139",42.409163,-71.109645,260004,""
"1010139",42.408659,-71.109419,260005,""
"1010139",42.408659,-71.109419,270001,""
"1010139",42.408576,-71.109382,270002,""
"1010139",42.408099,-71.109158,270003,""
"1010139",42.407545,-71.108925,270004,""
"1010139",42.407545,-71.108925,280001,""
"1010139",42.407458,-71.108888,280002,""
"1010139",42.406885,-71.108666,280003,""
"1010139",42.40639,-71.108475,280004,""
"1010139",42.40639,-71.108475,290001,""
"1010139",42.406304,-71.108442,290002,""
"1010139",42.405826,-71.108241,290003,""
"1010139",42.405675,-71.108187,290004,""
"1010139",42.405197,-71.107967,290005,""
"1010139",42.405197,-71.107967,300001,""
"1010139",42.405115,-71.107929,300002,""
"1010139",42.404562,-71.107692,300003,""
"1010139",42.40431,-71.107588,300004,""
"1010139",42.40396,-71.10741,300005,""
"1010139",42.403615,-71.107245,300006,""
"1010139",42.403615,-71.107245,310001,""
"1010139",42.40353,-71.107204,310002,""
"1010139",42.403377,-71.107132,310003,""
"1010139",42.402843,-71.106884,310004,""
"1010139",42.402582,-71.106768,310005,""
"1010139",42.402412,-71.10667,310006,""
"1010139",42.402244,-71.106574,310007,""
"1010139",42.402108,-71.106364,310008,""
"1010139",42.402108,-71.106364,320001,""
"1010139",42.402056,-71.106283,320002,""
"1010139",42.401785,-71.105936,320003,""
"1010139",42.401514,-71.105574,320004,""
"1010139",42.401119,-71.105052,320005,""
"1010139",42.400735,-71.104551,320006,""
"1010139",42.400735,-71.104551,330001,""
"1010139",42.400671,-71.104467,330002,""
"1010139",42.400393,-71.104089,330003,""
"1010139",42.399735,-71.103209,330004,""
"1010139",42.399472,-71.10286,330005,""
"1010139",42.399247,-71.102539,330006,""
"1010139",42.399121,-71.102359,330007,""
"1010139",42.398994,-71.102159,330008,""
"1010139",42.398994,-71.102159,340001,""
"1010139",42.398934,-71.102065,340002,""
"1010139",42.398626,-71.101562,340003,""
"1010139",42.398394,-71.101192,340004,""
"1010139",42.398192,-71.100928,340005,""
"1010139",42.397918,-71.100593,340006,""
"1010139",42.397569,-71.10014,340007,""
"1010139",42.397569,-71.10014,350001,""
"1010139",42.397505,-71.100056,350002,""
"1010139",42.397167,-71.099684,350003,""
"1010139",42.397108,-71.099609,350004,""
"1010139",42.396889,-71.099339,350005,""
"1010139",42.396754,-71.099182,350006,""
"1010139",42.396314,-71.098709,350007,""
"1010139",42.396314,-71.098709,360001,""
"1010139",42.396244,-71.098633,360002,""
"1010139",42.395874,-71.098256,360003,""
"1010139",42.395548,-71.097989,360004,""
"1010139",42.395305,-71.097818,360005,""
"1010139",42.395098,-71.097668,360006,""
"1010139",42.395098,-71.097668,370001,""
"1010139",42.395042,-71.097628,370002,""
"1010139",42.394829,-71.097597,370003,""
"1010139",42.394714,-71.097651,370004,""
"1010139",42.394435,-71.097057,370005,""
"1010139",42.394139,-71.096461,370006,""
"1010139",42.393915,-71.096051,370007,""
"1010139",42.39383,-71.095885,370008,""
"1010139",42.39383,-71.095885,380001,""
"1010139",42.39352,-71.095283,380002,""
"1010139",42.393295,-71.09486,380003,""
"1010139",42.393098,-71.094515,380004,""
"1010139",42.39285,-71.093996,380005,""
"1010139",42.392595,-71.093515,380006,""
"1010139",42.392595,-71.093515,390001,""
"1010139",42.392543,-71.093418,390002,""
"1010139",42.392347,-71.093083,390003,""
"1010139",42.392247,-71.092875,390004,""
"1010139",42.392198,-71.092773,390005,""
"1010139",42.392198,-71.092773,400001,""
"1010139",42.3921,-71.092567,400002,""
"1010139",42.391857,-71.092173,400003,""
"1010139",42.391662,-71.091915,400004,""
"1010139",42.391229,-71.091299,400005,""
"1010139",42.391129,-71.09116,400006,""
"1010139",42.390824,-71.090779,400007,""
"1010139",42.390696,-71.09054,400008,""
"1010139",42.390599,-71.090347,400009,""
"1010139",42.390536,-71.090227,400010,""
"1010139",42.390536,-71.090227,410001,""
"1010139",42.390484,-71.090127,410002,""
"1010139",42.390071,-71.089263,410003,""
"1010139",42.389879,-71.088839,410004,""
"1010139",42.389784,-71.088604,410005,""
"1010139",42.389784,-71.088604,420001,""
"1010139",42.389742,-71.088498,420002,""
"1010139",42.389682,-71.088384,420003,""
"1010139",42.38959,-71.088201,420004,""
"1010139",42.389432,-71.087818,420005,""
"1010139",42.389365,-71.087657,420006,""
"1010139",42.389359,-71.087642,420007,""
"1010139",42.389359,-71.087642,430001,""
"1010139",42.389047,-71.086938,430002,""
"1010139",42.388791,-71.086391,430003,""
"1010139",42.388657,-71.086077,430004,""
"1010139",42.388657,-71.086077,440001,""
"1010139",42.388612,-71.085971,440002,""
